"SamAccountName","DisplayName","Department","OU","Enabled","LastLogOn","GroupMembership"
"Administrator","Administrator","BelirtilmemiÅŸ","OU=Users2,DC=lab,DC=test","True","2026-08-17 10:49:16","Group Policy Creator Owners; Domain Admins; Enterprise Admins; Schema Admins; Administrators"
"Guest","Guest","BelirtilmemiÅŸ","OU=Users2,DC=lab,DC=test","False","HiÃ§ GiriÅŸ YapÄ±lmadÄ±","Guests"
"msi-nb","msi-nb","BelirtilmemiÅŸ","OU=Users2,DC=lab,DC=test","True","2026-08-17 09:06:59","Users; Administrators"
"krbtgt","krbtgt","BelirtilmemiÅŸ","KÃ¶k Dizin (CN=Users vb.)","False","HiÃ§ GiriÅŸ YapÄ±lmadÄ±","Denied RODC Password Replication Group"
"AhmetYildiz","Ahmet Yildiz","BelirtilmemiÅŸ","OU=IT,OU=Users2,DC=lab,DC=test","True","HiÃ§ GiriÅŸ YapÄ±lmadÄ±","G_IT_Users"
"MehmetYilmaz","Mehmet Yilmaz","BelirtilmemiÅŸ","OU=IT,OU=Users2,DC=lab,DC=test","True","HiÃ§ GiriÅŸ YapÄ±lmadÄ±","G_IT_Users"
"MuratMuhasebe","Murat Muhasebe","BelirtilmemiÅŸ","OU=Muhasebe,OU=Users2,DC=lab,DC=test","True","HiÃ§ GiriÅŸ YapÄ±lmadÄ±","G_Muhasebe_Users"
"AliHR","Ali HR","BelirtilmemiÅŸ","OU=HR,OU=Users2,DC=lab,DC=test","True","HiÃ§ GiriÅŸ YapÄ±lmadÄ±","G_HR_Users"
"mehmet.hr","Mehmet HR","BelirtilmemiÅŸ","OU=HR,OU=Users2,DC=lab,DC=test","True","2026-08-17 15:22:24","G_HR_Users"
"deneme.muhasebe","Deneme Muhasebe","BelirtilmemiÅŸ","OU=Muhasebe,OU=Users2,DC=lab,DC=test","True","HiÃ§ GiriÅŸ YapÄ±lmadÄ±","G_Muhasebe_Users"
"Test.1","Test 1","BelirtilmemiÅŸ","OU=Test,OU=Users2,DC=lab,DC=test","True","2026-08-17 15:50:29","Yok"
